market                                   side     ours   others    total    tgt qual self off  $/day
usgubewc-usgub-mn-2026-11-03-dem         BUY         0  580,319  580,319  2,000    y   no   -   0.00
usgubewc-usgub-mn-2026-11-03-dem         SELL       23    7,097    7,120  2,000    y   no   0   6.25
usgubewc-usgub-mn-2026-11-03-rep         BUY       489    7,115    7,604  2,000    y   no   1   0.20
usgubewc-usgub-mn-2026-11-03-rep         SELL       31  196,094  196,125  2,000    y   no   0   4.97
usgubewc-usgub-ne-2026-11-03-dem         BUY         0   11,276   11,276  2,000    y   no   -   0.00
usgubewc-usgub-ne-2026-11-03-dem         SELL       50  265,878  265,928  2,000    y   no   2   0.12
usgubewc-usgub-ne-2026-11-03-rep         BUY        25  500,242  500,267  2,000    y   no   0   5.39
usgubewc-usgub-ne-2026-11-03-rep         SELL      168   25,007   25,175  2,000    y   no   0   0.04
usgubewc-usgub-nh-2026-11-03-dem         BUY         0    6,891    6,891  2,000    y   no   -   0.00
usgubewc-usgub-nh-2026-11-03-dem         SELL        0      256      256  2,000   NO   no   -   0.00
usgubewc-usgub-nh-2026-11-03-rep         BUY        25      237      262  2,000   NO   no   0   0.00
usgubewc-usgub-nh-2026-11-03-rep         SELL        0    1,107    1,107  2,000   NO   no   -   0.00
usgubewc-usgub-nm-2026-11-03-dem         BUY         0  500,535  500,535  2,000    y   no   -   0.00
usgubewc-usgub-nm-2026-11-03-dem         SELL        0   21,225   21,225  2,000    y   no   -   0.00
usgubewc-usgub-nm-2026-11-03-rep         BUY         0   11,300   11,300  2,000    y   no   -   0.00
usgubewc-usgub-nm-2026-11-03-rep         SELL        0   65,725   65,725  2,000    y   no   -   0.00
usgubewc-usgub-ny-2026-11-03-dem         BUY         0  502,788  502,788  2,000    y   no   -   0.00
usgubewc-usgub-ny-2026-11-03-dem         SELL        0   29,072   29,072  2,000    y   no   -   0.00
usgubewc-usgub-ny-2026-11-03-rep         BUY         0   13,306   13,306  2,000    y   no   -   0.00
usgubewc-usgub-ny-2026-11-03-rep         SELL        0   67,870   67,870  2,000    y   no   -   0.00
usgubewc-usgub-ok-2026-11-03-dem         BUY        50      200      250  2,000   NO   no   0   0.00
usgubewc-usgub-ok-2026-11-03-dem         SELL       25  130,736  130,761  2,000    y   no   0   4.34
usgubewc-usgub-ok-2026-11-03-rep         BUY         0  600,202  600,202  2,000    y   no   -   0.00
usgubewc-usgub-ok-2026-11-03-rep         SELL        0      228      228  2,000   NO   no   -   0.00
usgubewc-usgub-or-2026-11-03-dem         BUY         0  600,638  600,638  2,000    y   no   -   0.00
usgubewc-usgub-or-2026-11-03-dem         SELL        0   18,317   18,317  2,000    y   no   -   0.00
usgubewc-usgub-or-2026-11-03-rep         BUY         0    3,975    3,975  2,000    y   no   -   0.00
usgubewc-usgub-or-2026-11-03-rep         SELL        0   66,702   66,702  2,000    y   no   -   0.00
usgubewc-usgub-pa-2026-11-03-dem         BUY       320      201      521  2,000   NO   no  48   0.00
usgubewc-usgub-pa-2026-11-03-dem         SELL        0   23,301   23,301  2,000    y   no   -   0.00
usgubewc-usgub-pa-2026-11-03-rep         BUY     1,600    3,250    4,850  2,000    y   no   5   0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL      660    3,280    3,940  2,000    y   no  50   0.00
usgubewc-usgub-ri-2026-11-03-dem         BUY     1,745      222    1,967  2,000   NO   no   0   0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    1,615    2,267    3,882  2,000    y   no   0   1.55
usgubewc-usgub-ri-2026-11-03-kenblo      BUY         0   12,300   12,300  2,000    y   no   -   0.00
usgubewc-usgub-ri-2026-11-03-kenblo      SELL        0      238      238  2,000   NO   no   -   0.00
usgubewc-usgub-ri-2026-11-03-rep         BUY     1,150   16,208   17,358  2,000    y   no   0   0.28
usgubewc-usgub-ri-2026-11-03-rep         SELL        0   20,486   20,486  2,000    y   no   -   0.00
usgubewc-usgub-sc-2026-11-03-dem         BUY     1,000   10,700   11,700  2,000    y   no   0   0.96
usgubewc-usgub-sc-2026-11-03-dem         SELL       50  196,042  196,092  2,000    y   no   0   2.67
usgubewc-usgub-sc-2026-11-03-rep         BUY         0  500,479  500,479  2,000    y   no   -   0.00
usgubewc-usgub-sc-2026-11-03-rep         SELL        0   22,987   22,987  2,000    y   no   -   0.00
usgubewc-usgub-sd-2026-11-03-dem         BUY     1,660    5,815    7,475  2,000    y   no   0   1.39
usgubewc-usgub-sd-2026-11-03-dem         SELL    1,286   29,717   31,003  2,000    y   no  49   0.00
usgubewc-usgub-sd-2026-11-03-rep         BUY     1,735      745    2,480  2,000    y   no  92   0.00
usgubewc-usgub-sd-2026-11-03-rep         SELL      488   27,990   28,478  2,000    y   no   0   0.11
usgubewc-usgub-tn-2026-11-03-dem         BUY         0   18,621   18,621  2,000    y   no   -   0.00
usgubewc-usgub-tn-2026-11-03-dem         SELL       50      225      275  2,000   NO   no   0   0.00
usgubewc-usgub-tn-2026-11-03-rep         BUY     1,710      558    2,268  2,000    y   no  52   0.00
usgubewc-usgub-tn-2026-11-03-rep         SELL        0    3,301    3,301  2,000    y   no   -   0.00
usgubewc-usgub-tx-2026-11-03-dem         BUY         0   11,325   11,325  2,000    y   no   -   0.00
usgubewc-usgub-tx-2026-11-03-dem         SELL        0      330      330  2,000   NO   no   -   0.00
usgubewc-usgub-tx-2026-11-03-rep         BUY        50      200      250  2,000   NO   no   0   0.00
usgubewc-usgub-tx-2026-11-03-rep         SELL       10    6,106    6,116  2,000    y   no   0   0.01
usgubewc-usgub-vt-2026-11-03-dem         BUY       200   12,471   12,671  2,000    y   no   0   0.51
usgubewc-usgub-vt-2026-11-03-dem         SELL       25  330,224  330,249  2,000    y   no   0   2.03
usgubewc-usgub-vt-2026-11-03-rep         BUY         0  200,670  200,670  2,000    y   no   -   0.00
usgubewc-usgub-vt-2026-11-03-rep         SELL      233   22,967   23,199  2,000    y   no   0   0.15
usgubewc-usgub-wy-2026-11-03-dem         BUY     2,200    2,184    4,384  2,000    y    y   0   0.58
usgubewc-usgub-wy-2026-11-03-dem         SELL    1,794    2,585    4,379  2,000    y   no   0   0.76
