ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why
1787373540.8,politics,enwc-usgubp-ri-2026-09-09-rep-elapel,SELL,1,0.85,sell,0.0905,12.45,,83,89,0.393,0.84,0.98,0.01,0,selling filled stock — it earns while it waits
1787373540.8,politics,enwc-usgubp-ri-2026-09-09-rep-robrai,SELL,1,0.02,sell,0.1488,8.14,,2,8,0.574,0.01,0.02,0.02,2,an exit — its fill reduces the position it sits on
1787373540.8,politics,ussewc-usse-ms-2026-11-03-dem,SELL,5,0.04,earn,6.25,1.17,0.0296,1,6,0,0.03,0.14,-0.0104,-14,at the touch — a fill here is 1 ticks inside value (Silver + evidence)
1787373540.8,politics,enwc-usgubp-ri-2026-09-09-rep-aarguc,SELL,1,0.03,sell,2.0938,0.08,0.008325,8,19,0.402,0.02,0.17,-0.0217,0,an exit — its fill reduces the position it sits on
1787373780.8,politics,usgubewc-usgub-al-2026-11-03-dem,BUY,1,0.13,sell,3.0488,1.15,0.014875,2,9,0.686,0.13,0.14,0.1151,-1,an exit — its fill reduces the position it sits on
1787373780.8,politics,usgubewc-usgub-al-2026-11-03-dem,BUY,0.98,0.13,sell,3.0488,0.15,0.014875,2,9,0.751,0.13,0.14,0.1151,-0.02,an exit — its fill reduces the position it sits on
1787373900.8,politics,ussewc-usse-la-2026-11-03-dem,BUY,0.98,0.11,earn,6.25,1.6,0.041575,8,14,0.443,0.11,0.12,0.0684,1.98,joins the touch — the book has been quiet
1787373960.8,politics,ussewc-usse-la-2026-11-03-rep,SELL,1,0.89,earn,0.5682,3.11,0.958425,93,98,0.562,0.83,0.97,0.0684,-1,4 ticks in front of the touch — closer to the midpoint; ~99.0% of the ask side
1787373960.8,politics,ussewc-usse-la-2026-11-03-dem,BUY,0.93,0.11,earn,6.1881,0.02,0.041575,5,12,0.62,0.11,0.12,0.0684,2.93,joins the touch — the book has been quiet
1787374260.8,politics,usgubewc-usgub-wy-2026-11-03-rep,SELL,0.98,0.86,earn,6.25,1.12,0.999875,88,96,0,0.82,0.86,0.1399,-0.98,joins the touch — the book has been quiet
1787374920.8,politics,usgubewc-usgub-fl-2026-11-03-dem,SELL,5,0.2,earn,4.3738,0.07,0.1555,17,24,0,0.2,0.23,-0.0445,-5,3 ticks in front of the touch — closer to the midpoint; ~91.4% of the ask side
1787375100.8,politics,usgubewc-usgub-wy-2026-11-03-rep,SELL,1,0.92,earn,5.2074,0.23,0.999875,90,96,0.453,0.89,0.99,0.0799,-2,7 ticks in front of the touch — closer to the midpoint; ~99.8% of the ask side
1787377680.8,politics,enwc-ussep-ok-2026-08-25-dem-nkitho,SELL,1,0.9,earn,6.2481,0.27,,93,98,0.75,0.88,0.94,0.06,-4,3 ticks in front of the touch — closer to the midpoint; ~99.9% of the ask side
1787377860.8,cfb,aachc-cfb-wins-2026-11-28-lsu-9pt5wins,SELL,1,0.41,sell,0.0653,3.52,,37,44,0.698,0.4,0.41,0,0,selling filled stock — it earns while it waits
1787377920.8,politics,usgubewc-usgub-ak-2026-11-03-tombeg,BUY,1,0.25,earn,1.7827,0.7,0.22325,22,27,0.581,0.23,0.27,0.0267,3,2 ticks in front of the touch — closer to the midpoint; ~99.8% of the bid side
1787378100.8,politics,scc-hrep-rep-2026-11-03-gte190,BUY,5,0.81,earn,1.6849,0.07,0.8392,79,84,0,0.78,0.82,-0.0292,5,3 ticks in front of the touch — closer to the midpoint; ~88.0% of the bid side
1787380500.8,politics,enwc-uspres-nom-rep-2028-tedcru,SELL,3,0.03,sell,0.0642,8.75,,2,8,0,0.02,0.03,0.01,0,selling filled stock — it earns while it waits
1787380500.8,cfb,aachc-cfb-wins-2026-11-28-utahst-4pt5wins,BUY,0.01,0.67,sell,0.0233,0.93,,57,62,0.443,0.67,0.68,0.08,-0.99,an exit — its fill reduces the position it sits on
1787381280.8,politics,ussewc-usse-fl-2026-11-03-dem,SELL,1,0.09,earn,6.25,4.96,0.1024,13,19,0.673,0.08,0.23,0.0124,-1,3 ticks in front of the touch — closer to the midpoint; ~95.7% of the ask side
1787383500.9,politics,usgubewc-usgub-nh-2026-11-03-dem,BUY,1,0.22,earn,6.2375,4.65,0.078575,19,25,0,0.15,0.26,0.1414,1,5 ticks in front of the touch — closer to the midpoint; ~99.8% of the bid side
1787383800.9,politics,usgubewc-usgub-tx-2026-11-03-rep,BUY,5,0.86,sell,0.0709,22.51,0.8749,79,87,0.671,0.75,0.89,-0.0149,-2,an exit — its fill reduces the position it sits on
1787383800.9,politics,usgubewc-usgub-tx-2026-11-03-rep,BUY,2,0.87,sell,0.2834,20.49,0.8749,78,86,0.742,0.75,0.89,-0.0049,0,an exit — its fill reduces the position it sits on
1787383800.9,politics,usgubewc-usgub-tx-2026-11-03-rep,BUY,1,0.88,earn,1.1364,0.02,0.8749,78,85,0.788,0.75,0.89,0.0051,1,1 tick in front of the touch — closer to the midpoint; ~18.2% of the bid side
1787384160.9,cfb,aachc-cfb-wins-2026-11-28-tcu-9pt5wins,BUY,1,0.3,earn,1.3812,0.87,,27,34,0,0.3,0.31,-0.01,1,joins the touch — the book has been quiet
1787385060.9,politics,ussewc-usse-ks-2026-11-03-dem,BUY,50,0.2,earn,0.6207,0.12,0.171275,18,23,0.425,0.2,0.21,0.0287,51,1 tick behind the touch; ~50.6% of the bid side
1787385120.9,politics,scc-hrep-rep-2026-11-03-gte190,BUY,1,0.81,earn,2.4794,0.02,0.8392,78,83,0.445,0.78,0.82,-0.0292,6,3 ticks in front of the touch — closer to the midpoint; ~59.5% of the bid side
1787391661.0,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz15-20,BUY,1,0.07,earn,0.8907,0.27,,2,17,0,,0.1,-0.02,1,6 ticks in front of the touch — closer to the midpoint; ~99.4% of the bid side
1787391661.0,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz20-25,BUY,1,0.08,earn,0.85,0.27,,3,12,0,0.08,0.09,0.01,1,1 tick in front of the touch — closer to the midpoint; ~98.8% of the bid side
1787391661.0,politics,vmc-usgubp-mov-ok-rep-2026-08-25-mazgte30,BUY,1,0.07,earn,0.8905,0.25,,2,10,0,0.04,0.08,0.01,1,3 ticks in front of the touch — closer to the midpoint; ~99.2% of the bid side
1787391661.0,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz25-30,BUY,1,0.09,earn,0,0.25,,2,11,0,0.07,0.11,0.03,1,2 ticks in front of the touch — closer to the midpoint; ~99.0% of the bid side
1787392381.0,politics,scc-hrep-rep-2026-11-03-gte190,BUY,1,0.81,earn,2.4794,0.02,0.8392,78,82,0.611,0.78,0.82,-0.0292,7,3 ticks in front of the touch — closer to the midpoint; ~59.5% of the bid side
1787395261.0,politics,enwc-usgubp-ri-2026-09-09-dem-helfou,BUY,2,0.92,earn,0.4386,0.52,0.991625,87,93,0,0.9,0.93,-0.0716,2,2 ticks in front of the touch — closer to the midpoint; ~83.5% of the bid side
1787396143.1,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz15-20,BUY,1,0.02,probe,0,0.58,,1,9,0.449,0.02,0.06,-0.03,2,a scout — this market's pool could pay; but I don't know enough yet; what happen
1787396443.1,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz20-25,BUY,1,0.08,earn,0.8665,0.56,,3,10,0.448,0.06,0.09,0.02,2,joins the touch — the book has been quiet
1787396443.1,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz25-30,BUY,0.99,0.07,earn,0.8631,0.23,,3,9,0.448,0.07,0.08,0.01,1.99,joins the touch — the book has been quiet
1787396983.1,politics,ussewc-usse-ar-2026-11-03-rep,BUY,9.94,0.95,earn,4.4867,6.2,0.98195,94,98,0,0.95,0.96,-0.0319,9.94,at the touch — a fill here is 3 ticks inside value (Silver + evidence)
1787397063.8,politics,vmc-usgubp-mov-ok-rep-2026-08-25-maz15-20,BUY,1,0.05,earn,0,0.09,,1,6,0.621,0.01,0.06,0.02,3,4 ticks in front of the touch — closer to the midpoint; ~62.1% of the bid side
1787397063.8,cfb,aachc-cfb-wins-2026-11-28-aubrn-4pt5wins,SELL,1,0.79,earn,2.1717,4.78,,,,0,,,,-1,3 ticks behind the touch; ~11.1% of the ask side
1787397363.8,cfb,aachc-cfb-wins-2026-11-28-sc-4pt5wins,SELL,1,0.79,earn,0.1079,10.67,,70,79,0,0.78,0.79,-0.04,-1,3 ticks in front of the touch — closer to the midpoint; ~88.5% of the ask side
1787397483.8,cfb,aachc-cfb-wins-2026-11-28-tx-7pt5wins,SELL,0.5,0.66,earn,2.4997,5.28,,,,0,,,,-0.5,joins the touch — the book has been quiet
1787397483.8,cfb,aachc-cfb-wins-2026-11-28-vir-7pt5wins,SELL,0.5,0.46,earn,0.8333,1.02,,43,50,0,0.45,0.46,0,-0.5,joins the touch — the book has been quiet
1787397723.8,politics,cranc-uspres28-12-31-2026-gavnew,BUY,1,0.21,earn,1.3468,4.08,,17,24,0,0.16,0.22,0,1,3 ticks in front of the touch — closer to the midpoint; ~91.6% of the bid side
1787398683.8,politics,enwc-usgubp-ri-2026-09-09-dem-helfou,BUY,1,0.91,earn,4.1501,0.47,0.991625,89,94,0.45,0.9,0.92,-0.0816,3,1 tick in front of the touch — closer to the midpoint; ~20.1% of the bid side
1787399103.8,politics,ussewc-usse-va-2026-11-03-dem,SELL,1,0.77,earn,6.25,10.46,0.994425,76,82,0.405,0.76,0.99,0.2244,-2,joins the touch — the book has been quiet
1787399463.8,politics,usgubewc-usgub-tx-2026-11-03-rep,SELL,1,0.84,sell,6.25,2.35,0.8749,80,86,0.807,0.83,0.96,0.0349,0,an exit — its fill reduces the position it sits on
1787400423.8,politics,enwc-uspres-nom-dem-2028-jonoss,BUY,49.59,0.26,earn,2.7475,2,,25,30,0.412,0.26,0.28,-0.01,69.59,1 tick behind the touch; ~46.5% of the bid side
1787400543.8,politics,ewc-usp-2028-11-07-andbes,SELL,1,0.04,sell,0.0001,38.23,,1,5,0,0.01,0.04,-0.01,0,adopted from the earlier versions
1787404121.3,politics,usgubewc-usgub-tx-2026-11-03-rep,SELL,1,0.85,earn,6.25,0.2,0.8749,82,87,0.83,0.84,0.96,0.0249,-1,1 tick in front of the touch — closer to the midpoint; ~41.7% of the ask side
1787404421.3,politics,ewc-usp-2028-11-07-elomus,BUY,2,0.09,sell,0,28.07,,2,8,0,0.01,0.09,0.04,0,an exit — its fill reduces the position it sits on
1787404541.3,politics,ewc-usp-2028-11-07-tuccar,BUY,2,0.08,sell,0.1839,8.51,,2,8,0,0.03,0.08,0.03,0,an exit — its fill reduces the position it sits on
1787405621.4,politics,ewc-usp-2028-11-07-rondes,BUY,5,0.09,sell,3.5342,3.01,,2,12,0,0.04,0.08,0.03,0,an exit — its fill reduces the position it sits on
1787405681.4,politics,enwc-uspres-nom-dem-2028-jonoss,BUY,20,0.26,earn,5.8823,1.46,,24,29,0.599,0.18,0.26,0,90,1 tick behind the touch; ~26.5% of the bid side
1787405861.4,politics,enwc-uspres-nom-dem-2028-gavnew,BUY,1,0.23,earn,3.9251,0.18,,21,28,0.578,0.2,0.28,-0.02,1,3 ticks in front of the touch — closer to the midpoint; ~67.1% of the bid side
1787405959.2,politics,enwc-uspres-nom-dem-2028-markel,BUY,10,0.13,sell,5.5237,11.19,,7,15,0,0.09,0.14,0.02,0,an exit — its fill reduces the position it sits on
